official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
Landsat 8,NASA/US Geological Survey,USA,Government,Earth Observation,LEO,Sun-Synchronous,700,705,0.000353,98.2,98.8,2780,1512,4300,2/11/2013,5,Orbital Sciences Corp.,USA,Vandenberg AFB,Atlas 5,2013-008A,39084
Microvariability & Oscillations of Stars (MOST),Canadian Space Agency,Canada,Government,Space Science,LEO,Sun-Synchronous,817,832,0.00104,98.7,101.4,53,53,35,6/30/2003,1,Dynacon Inc./University of Toronto Institute for Aerospace Studies/University of British Columbia,Canada,Plesetsk Cosmodrome,Rokot,2003-031D,27843
Nanosat-1,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Government,Communications,LEO,Sun-Synchronous,654,659,0.000356,98.4,97.9,20,15,20,12/18/2004,10,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Guiana Space Center,Ariane 5G,2004-049B,28493
Nanosat-1B,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Government,Communications/Technology Development,LEO,Sun-Synchronous,583,672,0.00636,98.1,97.3,20,15,20,7/29/2009,10,Instituto Nacional de Técnia Aeroespacial (INTA),Spain,Baikonur Cosmodrome,Dnepr,2009-041E,35685
NOAA-15,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),USA,Government,Earth Observation,LEO,Sun-Synchronous,800,816,0.00111,98.7,101,2223,1500,830,5/13/1998,3,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2,1998-030A,25338
NOAA-18,National Oceanographic and Atmospheric Administration (NOAA) (part of international program),USA,Government,Earth Observation,LEO,Sun-Synchronous,843,864,0.00145,99.1,102,2223,1500,830,5/20/2005,3,Lockheed Martin Space Systems,USA,Vandenberg AFB,Delta 2,2005-018A,28654
Odin,Swedish National Space Board,Sweden,Government,Earth Observation,LEO,Sun-Synchronous,569,573,0.000288,97.6,96.1,250,170,340,2/20/2001,2,Swedish Space Corporation/Canadian Space Agency/National Technology Agency of Finland/Centre National d'Etudes Spatiales,Sweden/Canada/Finland/France,Svobodny Cosmodrome,Start 1,2001-007A,26702
ORBCOMM FM-10,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,770,776,0.00042,45,100.3,45,22,160,12/23/1997,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084B,25113
ORBCOMM FM-11,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,769,777,0.00056,45,100.3,45,22,160,12/23/1997,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084C,25114
ORBCOMM FM-12,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,770,776,0.00042,45,100.3,45,22,160,12/23/1997,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084D,25115
ORBCOMM FM-13,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,788,795,0.000489,45,100.7,45,22,160,8/2/1998,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046H,25420
ORBCOMM FM-14,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,789,794,0.000349,45,100.7,45,22,160,8/2/1998,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046G,25419
ORBCOMM FM-15,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,788,795,0.000489,45,100.7,45,22,160,8/2/1998,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046F,25418
ORBCOMM FM-16,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,789,794,0.000349,45,100.7,45,22,160,8/2/1998,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-046E,25417
ORBCOMM FM-18,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,787,796,0.000628,45,100.7,45,22,160,8/2/1998,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046B,25414
ORBCOMM FM-19,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,788,795,0.000489,45,100.7,45,22,160,8/2/1998,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046C,25415
ORBCOMM FM-20,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,791,792,0.0000698,45,100.7,45,22,160,8/2/1998,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1998-046D,25416
ORBCOMM FM-21,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,810,822,0.000835,45,101.21,45,22,160,9/23/1998,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-053A,25475
ORBCOMM FM-23,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,788,794,0.000419,45,100.7,45,22,160,9/23/1998,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-053C,25477
ORBCOMM FM-27,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,790,792,0.00014,45,100.7,45,22,160,9/23/1998,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1998-053G,25481
ORBCOMM FM-30,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,788,796,0.000559,45,100.7,45,22,160,12/4/1999,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065A,25980
ORBCOMM FM-31,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,788,795,0.000489,45,100.7,45,22,160,12/4/1999,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065B,25981
ORBCOMM FM-32,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,786,796,0.000698,45,100.7,45,22,160,12/4/1999,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065C,25982
ORBCOMM FM-34,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,787,796,0.000628,45,100.7,45,22,160,12/4/1999,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065G,25986
ORBCOMM FM-35,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,788,795,0.000489,45,100.7,45,22,160,12/4/1999,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065F,25985
ORBCOMM FM-36,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,788,795,0.000489,45,100.7,45,22,160,12/4/1999,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus XL,1999-065E,25984
ORBCOMM FM-4,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Polar,768,838,0.00488,108,100.9,45,22,160,2/10/1998,5,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,1998-007C,25159
ORBCOMM FM-5,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,772,774,0.00014,45,100.3,45,22,160,12/23/1997,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084F,25117
ORBCOMM FM-6,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,772,774,0.00014,45,100.3,45,22,160,12/23/1997,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084G,25118
ORBCOMM FM-7,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,771,774,0.00021,45,100.3,45,22,160,12/23/1997,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084H,25119
ORBCOMM FM-8,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,768,778,0.0007,45,100.3,45,22,160,12/23/1997,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084A,25112
ORBCOMM FM-9,ORBCOMM Inc.,USA,Commercial,Communications,LEO,Non-Polar Inclined,769,777,0.00056,45,100.3,45,22,160,12/23/1997,5,Orbital Sciences Corp.,USA,Wallops Island Flight Facility,Pegasus,1997-084E,25116
Prototype Communications SATellite (PCSat),US Naval Academy,USA,Government,Communications/Technology Development,LEO,Non-Polar Inclined,789,796,0.000489,67,100.7,10,10,6,9/30/2001,5,US Naval Academy,USA,Kodiak Launch Complex,Athena 1,2001-043C,26931
Rumba,European Space Agency (and 250 international scientific investigators),ESA,Government,Space Science,Elliptical,Deep Highly Eccentric,17240,120715,0.687,90.8,3431.1,1200,478,224,8/9/2000,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-045A,26463
Salsa,European Space Agency (and 250 international scientific investigators),ESA,Government,Space Science,Elliptical,Deep Highly Eccentric,21998,110256,0.609,90.7,3418,1200,478,220,7/16/2000,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-041A,26410
Samba,European Space Agency (and 250 international scientific investigators),ESA,Government,Space Science,Elliptical,Deep Highly Eccentric,22017,110791,0.61,132.98,3430.28,1200,478,220,7/16/2000,4,Dornier Systems (Astrium) and 35 subcontractors,International,Baikonur Cosmodrome,Soyuz,2000-041B,26411
SDS-4,Japan Aerospace Exploration Agency (JAXA),Japan,Government,Technology Development,LEO,Sun-Synchronous,661,673,0.000853,98.2,98.1,50,48,120,5/17/2012,2,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-2A,2012-025C,38339
