official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
Cosmos 2455,Ministry of Defense,Russia,Military,Earth Observation,LEO,Non-Polar Inclined,900,911,0.000756,67.2,103.1,5000,980,1500,11/20/2009,10,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz U,2009-063A,36095
Cosmos 2502,Ministry of Defense,Russia,Military,Earth Observation,LEO,Non-Polar Inclined,901,910,0.000619,67.15,103.11,5000,980,1500,12/23/2014,10,TsSKB-Progress Samara Space Center and KB Arsenal,Russia,Plesetsk Cosmodrome,Soyuz 2-1b,2014-086A,40358
LQSat,Changchun Institute of Optics,China,Commercial,Earth Observation,LEO,Sun-Synchronous,640,663,0.00164,98.04,97.77,55,980,1500,10/7/2015,10,Chang Guang Satellite Technology Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2015-057A,40958
M3MSat,Defence Research and Development Canada (DRDC)/Canadian Space Agency,Canada,Government,Earth Observation,LEO,Sun-Synchronous,501,515,0.00102,97.5,94.7,85,980,1500,6/22/2016,10,Com Dev International (Honeywell Canada),Canada,Satish Dhawan Space Center,PSLV XL,2016-040G,41605
M-Cubed/E1P-U2,University of Michigan/Montana University,USA,Civil,Technology Development,LEO,Polar,442,724,0.0203,101.7,97.45,2,980,1500,10/28/2011,10,University of Michigan/Montana University/Montana Space Grant Consortium,USA,Vandenberg AFB,Delta 7920,2011-061F,37855
Meridian-3,Military Space Forces (VKS),Russia,Military,Communications,Elliptical,Molniya,2253,38105,0.675,62.85,645.98,2500,980,1500,11/2/2010,10,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2010-058A,37212
Meridian-4,Military Space Forces (VKS),Russia,Military,Communications,Elliptical,Molniya,1722,38637,0.695,64.47,717.88,2500,980,1500,5/4/2011,10,PO Polyot,Russia,Plesetsk Cosmodrome,Soyuz 2-1a,2011-018A,37398
Mozhayets 4,Mozhaisky Space Engineering Academy,Russia,Civil,Technology Development,LEO,Sun-Synchronous,669,690,0.00149,97.8,98.3,64,980,1500,9/27/2003,10,Mozhaiskiy Space Engineering Academy,Russia,Plesetsk Cosmodrome,Kosmos 3M,2003-042A,27939
USA 190,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20020,20342,0.00606,54.94,717.93,2060,980,1500,9/25/2006,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,2006-042A,29486
USA 192,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20206,20366,0.003,55.02,722.19,2060,980,1500,11/17/2006,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,2006-052A,29601
USA 199,DoD/US Air Force,USA,Military/Commercial,Navigation/Global Positioning,MEO,Non-Polar Inclined,20150,20311,0.00303,54.96,719.92,2060,980,1500,12/20/2007,10,Lockheed Martin Missiles and Space,USA,Cape Canaveral,Delta 2,2007-062A,32384
Naxing 2,Tsinghua University,China,Civil,Technology Development,LEO,Sun-Synchronous,519,540,0.00152,97.45,95.22,20,980,1500,9/19/2015,10,Tsinghua University,China,Taiyuan Launch Center,Long March 6,2015-049G,40905
NEOSSat,Canadian Space Agency,Canada,Government,Space Observation,LEO,Sun-Synchronous,772,786,0.000979,98.6,100.4,74,980,1500,2/25/2013,10,Microsat Systems Canada Inc.,Canada,Satish Dhawan Space Center,PSLV,2013-009D,39089
Nigeriasat-X,National Space Research and Development Agency (NASRDA),Nigeria,Government,Earth Observation/Technology Development,LEO,Sun-Synchronous,661,696,0.00248,98.2,98.3,100,980,1500,8/17/2011,10,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Dombarovsky Air Base,Dnepr 1,2011-044C,37790
NPP,National Oceanographic and Atmospheric Administration (NOAA)/NASA,USA,Government,Earth Observation,LEO,Sun-Synchronous,827,827,0,98.7,101.4,2128,980,1500,10/28/2011,10,Ball Aerospace,USA,Vandenberg AFB,Delta 2,2011-061A,37849
NPS-SCAT,Naval Post-Graduate School,USA,Government,Technology Development,LEO,Non-Polar Inclined,426,441,0.0011,40.49,94.63,1,980,1500,11/19/2013,10,Naval Post-Graduate School,USA,Wallops Island Flight Facility,Minotaur,2013-064K,39389
NUDT Phonesat,National University of Defense Technology/CAMSAT,China,Military,Technology Demonstration,LEO,Sun-Synchronous,516,536,0.00145,97.47,95.24,0,980,1500,9/19/2015,10,National University of Defense Technology,China,Taiyuan Launch Center,Long March 6,2015-049B,40900
ÑuSat-1,Satellogic,Argentina,Commercial,Earth Observation,LEO,Non-Polar Inclined,481,499,0.00131,97.5,94.41,35,980,1500,5/29/2016,10,Satellogic,Uruguay,Taiyuan Launch Center,Long March 4B,2016-033B,41557
ÑuSat-2,Satellogic,Argentina,Commercial,Earth Observation,LEO,Non-Polar Inclined,482,500,0.00131,97.5,94.41,35,980,1500,5/29/2016,10,Satellogic,Uruguay,Taiyuan Launch Center,Long March 4B,2016-033C,41558
O3b FM02,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,8063,8069,0.000208,0.03,287.93,700,980,1500,6/25/2013,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST,2013-031C,39190
O3b FM03,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,8060,8071,0.000381,0.09,287.92,650,980,1500,7/10/2014,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2014-038A,40079
O3b FM04,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,8062,8069,0.000242,0.04,287.93,700,980,1500,6/25/2013,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST,2013-031B,39189
O3b FM05,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,8064,8068,0.000139,0.03,287.94,700,980,1500,6/25/2013,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST,2013-031A,39188
O3b FM06,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,7831,7845,0.000493,0.12,281.15,650,980,1500,7/10/2014,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2014-038B,40080
O3b FM07,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,7827,7844,0.000598,0.12,281.08,650,980,1500,7/10/2014,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2014-038C,40081
O3b FM08,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,7815,7842,0.000951,0.12,280.87,650,980,1500,7/10/2014,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2014-038D,40082
O3B FM09,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,8063,8068,0.000173,0.04,287.93,650,980,1500,12/18/2014,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2014-083D,40351
O3B FM10,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,8063,8069,0.000208,0.04,287.93,650,980,1500,12/18/2014,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2014-083A,40348
O3B FM11,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,8063,8069,0.000208,0.04,287.93,650,980,1500,12/18/2014,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2014-083B,40349
O3B FM12,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,8063,8069,0.000208,0.04,287.93,650,980,1500,12/18/2014,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST-B,2014-083C,40350
O3b PFM,O3b Networks Ltd.,United Kingdom,Commercial,Communications,MEO,Equatorial,8063,8069,0.000208,0.03,287.93,700,980,1500,6/25/2013,10,Thales Alenia Space,France,Guiana Space Center,Soyuz-ST,2013-031D,39191
OPTOS,Spanish Space Agency,Spain,Government,Technology Development,LEO,Sun-Synchronous,594,797,0.0144,97.8,98.7,3,980,1500,11/21/2013,10,Instituto Nacional de Tecnica Aerospacial (INTA),Spain,Dombarovsky Air Base,Dnepr,2013-066E,39420
ParkinsonSat-1,US Naval Academy,USA,Civil,Technology Development,LEO,Non-Polar Inclined,356,700,0.0249,55,95.19,5,980,1500,5/20/2015,10,US Naval Academy,USA,Cape Canaveral,Atlas 5,2015-025D,40654
Perseus M1,Dauria Aerospace,Russia/USA,Commercial,Communications,LEO,Sun-Synchronous,607,625,0.00129,97.99,7.01,6,980,1500,6/19/2014,10,Dauria Aerospace/Canopus Systems,Russia/USA,Dombarovsky Air Base,Dnepr,2014-033AF,40039
Perseus M2,Dauria Aerospace,Russia/USA,Commerical,Communications,LEO,Sun-Synchronous,606,624,0.00129,97.99,96.99,6,980,1500,6/19/2014,10,Dauria Aerospace/Canopus Systems,Russia/USA,Dombarovsky Air Base,Dnepr,2014-033AD,40037
Phonesat 2.4,National Aeronautics and Space Administration (NASA),USA,Government,Technology Development,LEO,Non-Polar Inclined,499,507,0.000582,40.51,94.68,1,980,1500,11/19/2013,10,NASA/Ames Research Center,USA,Wallops Island Flight Facility,Minotaur,2013-064B,39381
PolyITAN-1,National Technical University,Ukraine,Civil,Technology Development,LEO,Sun-Synchronous,606,626,0.00143,97.99,97.03,1,980,1500,6/19/2014,10,National Technical University,Ukraine,Dombarovsky Air Base,Dnepr,2014-033AJ,40042
Popsat-HIP,Microspace Rapid Pte Ltd.,Singapore,Commercial,Technology Development,LEO,Sun-Synchronous,604,623,0.00136,97.99,96.97,3,980,1500,6/19/2014,10,Microspace Rapid Pte Ltd.,Singapore,Dombarovsky Air Base,Dnepr,2014-033U,40028
Prism,University of Tokyo,Japan,Civil,Earth Observation,LEO,Sun-Synchronous,600,627,0.00193,98.2,97,5,980,1500,1/23/2009,10,University of Tokyo,Japan,Tanegashima Space Center,H2A,2009-002B,33493
PropCube-1,Naval Post-Graduate School,USA,Military,Space Science,LEO,Non-Polar Inclined,494,800,0.0218,64.78,97.66,1,980,1500,10/8/2015,10,Tyvak Nano-Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-058N,40976
PropCube-3,Naval Post-Graduate School,USA,Military,Space Science,LEO,Non-Polar Inclined,493,800,0.0219,64.78,97.65,1,980,1500,10/8/2015,10,Tyvak Nano-Satellite Systems,USA,Cape Canaveral,Atlas 5,2015-058K,40973
PUCPSat-1,Institute for Radio Astronomy at Pontificia Universidad Católica del Perú (PUCP),Peru,Civil,Technology Development,LEO,Sun-Synchronous,589,640,0.00365,97.8,96.9,1,980,1500,11/21/2013,10,Institute for Radio Astronomy at Pontificia Universidad Católica del Perú (PUCP),Peru,Dombarovsky Air Base,Dnepr,2013-066AC,39442
QB50Pl,von Karman Institute,Belgium,Civil,Space Science,LEO,Sun-Synchronous,605,621,0.00115,97.98,96.96,2,980,1500,6/19/2014,10,Innovative Solutions in Space (ISIS),Netherlands,Dombarovsky Air Base,Dnepr,2014-033R,40025
QB50P2,von Karman Institute,Belgium,Civil,Space Science,LEO,Sun-Synchronous,607,622,0.00107,97.98,96.98,2,980,1500,6/19/2014,10,Innovative Solutions in Space (ISIS),Netherlands,Dombarovsky Air Base,Dnepr,2014-033Y,40032
Qsat-EOS,Kyushu University,Japan,Civil,Earth Observation,LEO,Sun-Synchronous,506,553,0.00341,97.47,95.23,49,980,1500,11/6/2014,10,Kyushu University,Japan,Dombarovsky Air Base,Dnepr,2014-070D,40301
USA 225,National Reconnaissance Office (NRO),USA,Military,Technology Development,LEO,Polar,1199,1202,0.000198,90,109.42,350,980,1500,2/6/2011,10,National Reconnaissance Laboratory,USA,Vandenberg AFB,Minotaur 4,2011-006A,37364
INnovative technology Demonstration EXperiment satellite (INDEX),Institute of Space and Astronautical Science (ISAS)/Japan Aerospace Exploration Agency (JAXA),Japan,Government,Technology Development,LEO,Sun-Synchronous,595,638,0.00308,98,97,70,980,1500,8/23/2005,10,Institute of Space and Astronautical Science (ISAS),Japan,Baikonur Cosmodrome,Dnepr,2005-031B,28810
RISat-1,Ministry of Defense,India,Military,Earth Observation,LEO,Sun-Synchronous,538,541,0.000217,97.6,95.4,1858,980,1500,4/25/2012,10,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV XL,2012-017A,38248
RISat-2,Ministry of Defense,India,Military,Earth Observation,LEO,Non-Polar Inclined,415,427,0.000884,41.22,41.2,93,980,1500,4/20/2009,10,Israel Aircraft Industries (IAI),Israel,Satish Dhawan Space Center,PSLV C12,2009-019A,34807
Cosmos 2416,Ministry of Defense,Russia,Military,Communications,LEO,Polar,1436,1448,0.000768,82.5,114.7,225,980,1500,12/21/2005,10,NPO-PM,Russia,Plesetsk Cosmodrome,Kosmos 3M,2005-048B,28908
SAMSAT 218D,Samara State Aerospace University,Russia,Civil,Technology Development,LEO,Sun-Synchronous,467,486,0.00139,97.27,94.13,2,980,1500,4/27/2016,10,Samara State Aerospace University,Russia,Vostochny Cosmodrome,Soyuz 2.1a,2016-026C,41466
SAR-Lupe 1,Armed Forces,Germany,Military,Earth Observation,LEO,Non-Polar Inclined,468,505,0.0027,98.2,94.3,770,980,1500,12/19/2006,10,OHB System-AG,Germany,Plesetsk Cosmodrome,Kosmos 3M,2006-060A,29658
SAR-Lupe 2,Armed Forces,Germany,Military,Earth Observation,LEO,Non-Polar Inclined,470,503,0.00241,98.19,94.34,770,980,1500,7/2/2007,10,OHB-System AG,Germany,Plesetsk Cosmodrome,Kosmos 3M,2007-030A,31797
SAR-Lupe 3,Armed Forces,Germany,Military,Earth Observation,LEO,Non-Polar Inclined,473,496,0.00168,98.17,94.3,770,980,1500,11/1/2007,10,OHB-System AG,Germany,Plesetsk Cosmodrome,Kosmos 3M,2007-053A,32283
SAR-Lupe 4,Armed Forces,Germany,Military,Earth Observation,LEO,Non-Polar Inclined,448,486,0.00278,98.16,94.4,770,980,1500,3/27/2008,10,OHB-System AG,Germany,Plesetsk Cosmodrome,Kosmos 3M,2008-014A,32750
SAR-Lupe 5,Armed Forces,Germany,Military,Earth Observation,LEO,Non-Polar Inclined,474,502,0.00204,98.16,94.37,770,980,1500,7/22/2008,10,OHB-System AG,Germany,Plesetsk Cosmodrome,Kosmos 3M,2008-036A,33244
Sathyabamasat,Sathyabama University/IRSO,India,Civil,Earth Science,LEO,Sun-Synchronous,501,517,0.00116,97.5,94.8,2,980,1500,6/22/2016,10,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Center,PSLV XL,2016-040B,41600
Saudicomsat-1,Riyadh Space Research Institute,Saudi Arabia,Commercial,Technology Development,LEO,Sun-Synchronous,697,747,0.00353,98,99.2,12,980,1500,6/29/2004,10,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025D,28369
Saudicomsat-2,Riyadh Space Research Institute,Saudi Arabia,Commercial,Technology Development,LEO,Sun-Synchronous,696,780,0.00591,98.1,99.6,12,980,1500,6/29/2004,10,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr 1,2004-025E,28370
Saudicomsat-3,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,LEO,Sun-Synchronous,652,714,0.0044,97.8,98.4,12,980,1500,4/17/2007,10,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012J,31125
Saudicomsat-4,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,LEO,Sun-Synchronous,649,746,0.00686,97.8,98.7,12,980,1500,4/17/2007,10,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012L,31127
Saudicomsat-5,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,LEO,Sun-Synchronous,651,725,0.00524,97.8,98.5,12,980,1500,4/17/2007,10,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012H,31124
Saudicomsat-6,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,LEO,Sun-Synchronous,648,758,0.00778,97.8,98.8,12,980,1500,4/17/2007,10,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012E,31121
Saudicomsat-7,Riyadh Space Research Institute,Saudi Arabia,Commercial,Communications,LEO,Sun-Synchronous,650,736,0.00609,97.8,98.6,12,980,1500,4/17/2007,10,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012C,31119
Saudisat 1C,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Government,Communications,LEO,Non-Polar Inclined,603,702,0.00705,64.6,97.8,10,980,1500,12/20/2002,10,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Baikonur Cosmodrome,Dnepr,2002-058C,27607
Saudisat-3,Riyadh Space Research Institute,Saudi Arabia,Government,Earth Observation,LEO,Sun-Synchronous,656,677,0.00149,97.8,98.1,200,980,1500,4/17/2007,10,King Abdulaziz City for Science and Technology,Saudi Arabia,Baikonur Cosmodrome,Dnepr,2007-012B,31118
Saudisat-4,"Space Research Institute, King Abdulaziz City for Science and Technology",Saudi Arabia,Government,Space Science,LEO,Sun-Synchronous,613,682,0.00492,97.98,97.68,100,980,1500,6/19/2014,10,King Abdulaziz City for Science and Technology/Stanford University,Saudi Arabia,Dombarovsky Air Base,Dnepr,2014-033G,40016
USA 216,Strategic Space Command/Space Surveillance Network,USA,Military,Space Observation,LEO,Sun-Synchronous,631,634,0.000214,98.02,97.36,1031,980,1500,9/26/2010,10,Boeing/Ball Aerospace,USA,Vandenberg AFB,Minotaur 4,2010-048A,37168
USA 181,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,Non-Polar Inclined,1017,1203,0.0124,63.4,107.4,5000,980,1500,2/3/2005,10,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004A,28537
USA 181,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,Non-Polar Inclined,1016,1203,0.0125,63.4,107.4,5000,980,1500,2/3/2005,10,Lockheed Martin,USA,Cape Canaveral,Atlas 3B,2005-004B,28541
USA 194,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,Non-Polar Inclined,1015,1200,0.0124,63.4,107.4,5000,980,1500,6/15/2007,10,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2007-027A,31701
USA 194,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,Non-Polar Inclined,1016,1201,0.0124,63.4,107.4,5000,980,1500,6/15/2007,10,Lockheed Martin,USA,Cape Canaveral,Atlas 5,2007-027B,31708
USA 229,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,Non-Polar Inclined,1014,1201,0.0125,63.4,107.4,5000,980,1500,4/15/2011,10,Lockheed Martin,USA,Vandenberg AFB,Atlas 5,2011-014B,37391
USA 238,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,Non-Polar Inclined,1012,1203,0.0128,63.4,107.4,6500,980,1500,9/13/2012,10,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2012-048A,38758
USA 238,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,Non-Polar Inclined,1012,1203,0.0128,63.4,107.4,6500,980,1500,9/13/2012,10,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2012-048P,38773
USA 264,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,Non-Polar Inclined,1014,1099,0.00572,63.4,107.4,6500,980,1500,10/8/2015,10,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2015-058A,40964
USA 264,National Reconnaissance Office/US Navy,USA,Military,Earth Observation,LEO,Non-Polar Inclined,1014,1099,0.00572,63.4,107.4,6500,980,1500,10/8/2015,10,National Reconnaissance Laboratory (NRL),USA,Vandenberg AFB,Atlas 5,2015-058R,40981
S-Cube,"Planetary Exploration Research Center (PERC) of the Chiba Institute of Technology, Tohoku University",Japan,Civil,Technology Development,LEO,Non-Polar Inclined,397,408,0.000812,51.64,92.61,4,980,1500,9/17/2015,10,Planetary Exploration Research Center (PERC) of the Chiba Institute of Technology and Tohoku University,Japan,International Space Station,Cubesat Deployer,1998-067GY,40898
SEEDS 2,Nihon University,Japan,Civil,Technology Development,LEO,Sun-Synchronous,607,627,0.00143,97.8,97,3,980,1500,4/28/2008,10,Nihon University,Japan,Satish Dhawan Space Center,PSLV C9,2008-021J,32791
Shiyan 1,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,Sun-Synchronous,586,601,0.00108,97.5,96.6,204,980,1500,4/18/2004,10,Chinese Research Institute of Space Technology/Changchun Photomechanical Institute (CAS),China,Xichang Satellite Launch Center,Long March 2C,2004-012A,28220
Shiyan 3,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,Sun-Synchronous,785,803,0.00126,98.5,100.8,300,980,1500,11/5/2008,10,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2008-056A,33433
Shiyan 4,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,Sun-Synchronous,784,802,0.00126,98.4,100.7,300,980,1500,11/20/2011,10,CAST/DFH Satellite/HIT,China,Jiuquan Satellite Launch Center,Long March 2D,2011-068B,37931
Shiyan 5,Chinese Academy of Space Technology (CAST),China,Government,Earth Observation,LEO,Sun-Synchronous,739,755,0.00112,97.9,99.7,204,980,1500,11/25/2013,10,Chinese Academy of Space Technology (CAST),China,Jiuquan Satellite Launch Center,Long March 2D,2013-068A,39455
SINOD D-1,SRI International,USA,Commercial,Technology Demonstration,LEO,Non-Polar Inclined,494,800,0.0218,64.78,97.67,2,980,1500,10/8/2015,10,SRI International,USA,Cape Canaveral,Atlas 5,2015-058L,40974
SINOD D-3,SRI International,USA,Commercial,Technology Demonstration,LEO,Non-Polar Inclined,494,800,0.0218,64.78,97.66,2,980,1500,10/8/2015,10,SRI International,USA,Cape Canaveral,Atlas 5,2015-058P,40977
SkySat-2,Terra Bella,USA,Commercial,Earth Observation,LEO,Sun-Synchronous,626,634,0.000571,98.4,97.31,90,980,1500,7/8/2014,10,Skybox Imaging,USA,Baikonur Cosmodrome,Soyuz-2.1b,2014-037D,40072
SkySat-3,Terra Bella,USA,Commercial,Earth Observation,LEO,Sun-Synchronous,500,515,0.00109,97.5,94.78,110,980,1500,6/22/2016,10,Space Systems/Loral,USA,Satish Dhawan Space Center,PSLV XL,2016-040C,41601
SMDC-ONE 1.1,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,Non-Polar Inclined,495,791,0.0211,64.6,97.5,5,980,1500,9/13/2012,10,Miltec,USA,Vandenberg AFB,Atlas 5,2012-048J,38766
SMDC-ONE 1.2,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,Non-Polar Inclined,483,789,0.0218,64.6,97.4,3,980,1500,9/13/2012,10,Miltec,USA,Vandenberg AFB,Atlas 5,2012-048B,38759
SMDC-ONE 2.3,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,Polar,443,886,0.0315,120.3,98,5,980,1500,12/6/2013,10,Miltec,USA,Vandenberg AFB,Atlas 5,2013-072N,39474
SMDC-ONE 2.4,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,Polar,443,886,0.0315,120.3,98,5,980,1500,12/6/2013,10,Miltec,USA,Vandenberg AFB,Atlas 5,2013-072L,39472
SNaP-3 Alice,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,Non-Polar Inclined,495,801,0.0218,64.78,97.68,5,980,1500,10/8/2015,10,US Army Space and Missile Defense Command,USA,Cape Canaveral,Atlas 5,2015-058G,40970
SNaP-3 Eddie,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,Non-Polar Inclined,496,801,0.0217,64.78,97.69,5,980,1500,11/21/2010,10,US Army Space and Missile Defense Command,USA,Cape Canaveral,Atlas 5,2015-058J,40972
SNaP-3 Jimi,US Army Space and Missile Defense Command,USA,Military,Technology Development,LEO,Non-Polar Inclined,495,801,0.0218,64.78,97.67,5,980,1500,11/21/2010,10,US Army Space and Missile Defense Command,USA,Cape Canaveral,Atlas 5,2015-058M,40975
SOHLA 1,Astrotech SOHLA,Japan,Civil,Technology Development,LEO,Sun-Synchronous,657,665,0.000569,98.1,98,50,980,1500,1/23/2009,10,Space Oriented Higashiosaka Leading Association,Japan,Tanegashima Space Center,H-2A,2009-002E,33496
SpinSat,US Naval Research Laboratory,USA,Military,Technology Development,LEO,Non-Polar Inclined,406,419,0.000958,51.65,92.81,50,980,1500,11/28/2014,10,U.S. Naval Research Laboratory,USA,International Space Station,Cyclops Deployer System,1998-067FL,40314
Spot 6,Spot Image,France/Belgium/Sweden,Commercial,Earth Observation,LEO,Sun-Synchronous,696,699,0.000212,98.2,98.73,720,980,1500,9/9/2012,10,EADS Astrium,France/UK/Germany,Satish Dhawan Space Center,PSLV,2012-047A,38755
Spot 7,Spot Image,France/Belgium/Sweden,Commercial,Earth Observation,LEO,Sun-Synchronous,643,660,0.00121,98.2,97.77,714,980,1500,6/30/2014,10,Airbus Defense and Space,France/UK/Germany,Satish Dhawan Space Center,PSLV-CA,2014-034A,40053
SPROUT,Nihon University,Japan,Civil,Technology Development,LEO,Sun-Synchronous,614,629,0.00107,97.87,97.13,7,980,1500,5/24/2014,10,Nihon University,Japan,Tanegashima Space Center,H-2A,2014-029E,39770
SSOT,Chilean Air Force,Chile,Government/Military,Earth Observation,LEO,Sun-Synchronous,622,624,0.000143,98,97.2,117,980,1500,12/17/2011,10,Astrium,France,Guiana Space Center,Soyuz 2/Fregat,2011-076E,38011
STARE-B,National Reconaissance Office,USA,Military,Space Science,LEO,Non-Polar Inclined,500,506,0.000436,40.5,94.6,3,980,1500,11/19/2013,10,Lawrence Livermore National Laboratory,USA,Wallops Island Flight Facility,Minotaur 1,2013-064T,39397
STRaND-1,Surrey Satellite Technology Limited (SSTL),United Kingdom,Commercial,Technology Development,LEO,Sun-Synchronous,772,783,0.000769,98.6,100.4,4,980,1500,2/25/2013,10,Surrey Satellite Technology Limited (SSTL),UK,Satish Dhawan Space Center,PSLV,2013-009E,39090
Swayam,"College of Engineering, Pune",India,Civil,Technology Development,LEO,Sun-Synchronous,500,518,0.00131,97.5,94.7,1,980,1500,6/22/2016,10,"College of Engineering, Pune",India,Satish Dhawan Space Center,PSLV XL,2016-040J,41607
TechDemoSat-1,Technology Strategy Board,United Kingdom,Government,Technology Development,LEO,Sun-Synchronous,625,631,0.000429,98.4,97.27,150,980,1500,7/8/2014,10,Surrey Satellite Technology Ltd. (SSTL),United Kingdom,Baikonur Cosmodrome,Soyuz-2.1b,2014-037H,40076
Tianhui 1-01,China Aerospace Science and Technology Corporation (CASTC),China,Government,Earth Observation,LEO,Sun-Synchronous,488,504,0.00117,97.4,94.5,2500,980,1500,8/24/2010,10,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2010-040A,36985
Tianhui 1-02,China Aerospace Science and Technology Corporation (CASTC),China,Government,Earth Observation,LEO,Sun-Synchronous,485,505,0.00146,97.4,94.5,2500,980,1500,5/6/2012,10,DFH Satellite Co. Ltd.,China,Jiuquan Satellite Launch Center,Long March 2D,2012-020A,38256
